Disease,common_symptoms,Description
impetigo," blister,  high_fever,  red_sore_around_nose,  skin_rash,  yellow_crust_ooze","Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts."
jaundice," abdominal_pain,  dark_urine,  fatigue,  high_fever,  vomiting,  weight_loss,  yellowish_skin, itching","Yellow staining of the skin and sclerae (the whites of the eyes) by abnormally high blood levels of the bile pigment bilirubin. The yellowing extends to other tissues and body fluids. Jaundice was once called the ""morbus regius"" (the regal disease) in the belief that only the touch of a king could cure it"
malaria," chills,  diarrhoea,  headache,  high_fever,  muscle_pain,  nausea,  sweating,  vomiting",An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.
migraine," acidity,  blurred_and_distorted_vision,  depression,  excessive_hunger,  headache,  indigestion,  irritability,  stiff_neck,  visual_disturbances","A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities."
osteoarthristis," hip_joint_pain,  joint_pain,  knee_pain,  neck_pain,  painful_walking,  swelling_joints","Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time."
paralysis (brain hemorrhage)," altered_sensorium,  headache,  vomiting,  weakness_of_one_body_side","Intracerebral hemorrhage (ICH) is when blood suddenly bursts into brain tissue, causing damage to your brain. Symptoms usually appear suddenly during ICH. They include headache, weakness, confusion, and paralysis, particularly on one side of your body."
peptic ulcer diseae," abdominal_pain,  indigestion,  internal_itching,  loss_of_appetite,  passage_of_gases,  vomiting","Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer."
pneumonia," breathlessness,  chest_pain,  chills,  cough,  fast_heart_rate,  fatigue,  high_fever,  malaise,  phlegm,  rusty_sputum,  sweating","Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe."
psoriasis," inflammatory_nails,  joint_pain,  silver_like_dusting,  skin_peeling,  skin_rash,  small_dents_in_nails","Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family."
tuberculosis," blood_in_sputum,  breathlessness,  chest_pain,  chills,  cough,  fatigue,  high_fever,  loss_of_appetite,  malaise,  mild_fever,  phlegm,  sweating,  swelled_lymph_nodes,  vomiting,  weight_loss,  yellowing_of_eyes","Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis."
typhoid," abdominal_pain,  belly_pain,  chills,  constipation,  diarrhoea,  fatigue,  headache,  high_fever,  nausea,  toxic_look_(typhos),  vomiting","An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe."
urinary tract infection," bladder_discomfort,  burning_micturition,  continuous_feel_of_urine,  foul_smell_of urine","Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating."
varicose veins," bruising,  cramps,  fatigue,  obesity,  prominent_veins_on_calf,  swollen_blood_vessels,  swollen_legs","A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs."
